date,Belegte Betten,Freie Betten,Notfallreserve,COVID-19-Fälle,IdBundesland
2020-12-01T12:15:00+01:00,3291,718,1500,641,9
2020-11-30T12:15:00+01:00,3194,804,1603,647,9
2020-11-29T12:15:00+01:00,3202,778,1604,645,9
2020-11-28T12:15:00+01:00,3224,727,1604,645,9
2020-11-27T12:15:00+01:00,3266,699,1629,637,9
2020-11-26T12:15:00+01:00,3249,741,1644,633,9
2020-11-25T12:15:00+01:00,3243,782,1662,609,9
2020-11-24T12:15:00+01:00,3177,866,1635,592,9
2020-11-23T12:15:00+01:00,3090,959,1643,588,9
2020-11-22T12:15:00+01:00,3081,935,1656,564,9
2020-11-21T12:15:00+01:00,3164,851,1649,541,9
2020-11-20T12:15:00+01:00,3205,843,1670,532,9
2020-11-19T12:15:00+01:00,3175,898,1654,518,9
2020-11-18T12:15:00+01:00,3207,902,1704,519,9
2020-11-17T12:15:00+01:00,3160,938,1709,514,9
2020-11-16T12:15:00+01:00,3101,971,1735,500,9
2020-11-15T12:15:00+01:00,3066,979,1749,492,9
2020-11-14T12:15:00+01:00,3150,923,1759,480,9
2020-11-13T12:15:00+01:00,3228,876,1819,475,9
2020-11-12T12:15:00+01:00,3214,898,1809,457,9
2020-11-11T12:15:00+01:00,3200,928,1811,442,9
2020-11-10T12:15:00+01:00,3147,953,1892,410,9
2020-11-09T12:15:00+01:00,3013,1047,1877,391,9
2020-11-08T12:15:00+01:00,2904,1101,1928,372,9
2020-11-07T12:15:00+01:00,2985,1063,1950,362,9
2020-11-06T12:15:00+01:00,3015,1010,1934,356,9
2020-11-05T12:15:00+01:00,3067,974,1927,339,9
2020-11-04T12:15:00+01:00,3048,1016,1921,314,9
2020-11-03T12:15:00+01:00,3045,1015,1918,285,9
2020-11-02T12:15:00+01:00,2953,1103,1905,268,9
2020-11-01T12:15:00+01:00,2953,1184,1905,238,9
2020-10-31T12:15:00+01:00,2981,1155,1896,203,9
2020-10-30T12:15:00+01:00,3032,1137,1886,179,9
2020-10-29T12:15:00+01:00,3083,1112,1906,167,9
2020-10-28T12:15:00+01:00,3114,1078,1904,147,9
2020-10-27T12:15:00+01:00,3121,1085,1918,129,9
2020-10-26T12:15:00+01:00,3001,1207,1950,122,9
2020-10-25T12:15:00+01:00,2988,1207,1961,123,9
2020-10-24T12:15:00+02:00,3117,1088,2000,112,9
2020-10-23T12:15:00+02:00,3082,1117,2001,105,9
2020-10-22T12:15:00+02:00,3084,1125,1977,100,9
2020-10-21T12:15:00+02:00,3056,1151,1996,103,9
2020-10-20T12:15:00+02:00,3012,1210,1983,87,9
2020-10-19T12:15:00+02:00,2929,1278,1979,92,9
2020-10-18T12:15:00+02:00,2951,1262,1971,84,9
2020-10-17T12:15:00+02:00,3071,1142,1989,85,9
2020-10-16T12:15:00+02:00,3100,1137,1991,87,9
2020-10-15T12:15:00+02:00,3104,1142,1990,78,9
2020-10-14T12:15:00+02:00,3102,1138,1984,71,9
2020-10-13T12:15:00+02:00,3076,1173,2004,72,9
2020-10-12T12:15:00+02:00,2995,1249,2005,71,9
2020-10-11T12:15:00+02:00,2966,1294,2005,63,9
2020-10-10T12:15:00+02:00,3074,1184,2001,65,9
2020-10-09T12:15:00+02:00,3147,1106,1996,62,9
2020-10-08T12:15:00+02:00,3103,1143,1987,63,9
2020-10-07T12:15:00+02:00,3124,1118,1965,65,9
2020-10-06T12:15:00+02:00,3087,1145,1924,60,9
2020-10-05T12:15:00+02:00,3010,1220,1921,66,9
2020-10-04T12:15:00+02:00,2979,1226,1945,71,9
2020-10-03T12:15:00+02:00,3058,1157,1926,65,9
2020-10-02T12:15:00+02:00,3063,1168,1917,58,9
2020-10-01T12:15:00+02:00,3076,1163,1943,57,9
2020-09-30T12:15:00+02:00,3172,1128,1960,56,9
2020-09-29T12:15:00+02:00,3128,1178,1942,56,9
2020-09-28T12:15:00+02:00,3063,1231,1958,57,9
2020-09-27T12:15:00+02:00,3062,1222,1962,51,9
2020-09-26T12:15:00+02:00,3157,1135,1961,52,9
2020-09-25T12:15:00+02:00,3200,1096,1962,49,9
2020-09-24T12:15:00+02:00,3215,1078,1956,46,9
2020-09-23T12:15:00+02:00,3194,1103,1942,42,9
2020-09-22T12:15:00+02:00,3186,1117,1941,39,9
2020-09-21T12:15:00+02:00,3080,1228,1951,35,9
2020-09-20T12:15:00+02:00,3104,1193,1950,42,9
2020-09-19T12:15:00+02:00,3133,1174,1949,40,9
2020-09-18T12:15:00+02:00,3228,1093,1948,41,9
2020-09-17T12:15:00+02:00,3236,1082,1950,41,9
2020-09-16T12:15:00+02:00,3198,1115,2021,38,9
2020-09-15T12:15:00+02:00,3159,1142,2013,36,9
2020-09-14T12:15:00+02:00,3089,1209,2011,37,9
2020-09-13T12:15:00+02:00,3085,1221,2031,36,9
2020-09-12T12:15:00+02:00,3162,1142,2029,34,9
2020-09-11T12:15:00+02:00,3190,1128,2032,34,9
2020-09-10T12:15:00+02:00,3187,1132,2021,33,9
2020-09-09T12:15:00+02:00,3141,1159,2016,33,9
2020-09-08T12:15:00+02:00,3122,1174,2022,34,9
2020-09-07T12:15:00+02:00,3051,1243,2020,34,9
2020-09-06T12:15:00+02:00,3043,1257,2035,33,9
2020-09-05T12:15:00+02:00,3123,1185,2033,33,9
2020-09-04T12:15:00+02:00,3153,1169,2039,32,9
2020-09-03T12:15:00+02:00,3132,1197,2048,32,9
2020-09-02T12:15:00+02:00,3085,1243,2047,35,9
2020-09-01T12:15:00+02:00,3030,1287,2027,36,9
2020-08-31T12:15:00+02:00,2973,1328,2028,42,9
2020-08-30T12:15:00+02:00,3022,1286,2037,38,9
